date_time,sentiment_1,sentiment_2,s1_no_0,s2_no_0,s1_scaled,s2_scaled
2018-01-21,0.1097531914893617,0.00957868963188112,0.18422857142857144,0.02501102292768959,0.38460311187610347,-0.1407910512875689
2018-01-22,0.06652417582417583,0.03399467199467199,0.19528064516129034,0.0909857397504456,0.24372016357433074,-0.057646181407664185
2018-01-23,0.1453049122807019,0.06891402116402114,0.19172175925925944,0.13452394542291798,0.5004658296644962,0.06126628747587845
2018-01-24,0.0017507692307691738,0.044112794612794624,0.0022313725490195353,0.09887350516660864,0.032624251441921645,-0.023190472191769812
2018-01-25,0.03258291139240509,0.057263931128646355,0.05362604166666671,0.1391954018204019,0.13310590764786762,0.02159369901773009
2018-01-26,0.026094915254237298,0.02065401288918239,0.03665714285714287,0.0696335291692435,0.1119615903311142,-0.10307574262525801
2018-01-27,0.03975806451612901,-0.03828018084066471,0.050824742268041206,-0.056508838383838376,0.15648966300367104,-0.3037670683452825
2018-01-28,0.16450750000000003,0.04127056277056278,0.2230610169491526,0.08465756465756466,0.5630468792509858,-0.03286925526015161
2018-01-29,0.1328591463414635,0.2018972917326576,0.21788900000000017,0.34135212210469945,0.4599051975887173,0.5141203468924577
2018-01-30,0.13370652173913045,0.0668366506681724,0.20849152542372884,0.19215537067099567,0.46266678589936316,0.05419212199675691
2018-01-31,0.024651428571428564,0.049099180581323426,0.04930285714285713,0.1272941718775052,0.10725728104765724,-0.006210102269970763
2018-02-01,0.09101924882629094,0.1211162175070626,0.1457676691729321,0.30350299210593334,0.3235493720423902,0.239032832269995
2018-02-02,0.0884478571428572,0.009655341682127378,0.13607362637362647,0.016896847943722912,0.31516923115723583,-0.14053002452857744
2018-02-03,-0.17435221238938065,-0.08074314574314571,-0.20522708333333348,-0.12672188151354813,-0.541293680151419,-0.44836815951056064
2018-02-04,0.11960210526315783,0.04562998405103668,0.16466956521739123,0.20642135642135642,0.41670062759954807,-0.018023917082439278
2018-02-05,0.10566084337349395,0.06356262713190426,0.17366039603960393,0.16748247783962075,0.3712661885349373,0.043042938774802586
2018-02-06,0.04596887417218543,0.008302872624064673,0.09916142857142857,0.022795159386068464,0.1767306322282148,-0.14513564973662116
2018-02-07,0.09501074074074056,0.06822940917107574,0.15933478260869535,0.16159596908938992,0.33655760598844375,0.05893494670793892
2018-02-08,0.015269129287598954,0.040139059269666134,0.02333467741935485,0.07606351731601732,0.07668045748097975,-0.036722416273819475
2018-02-09,0.050118181818181805,0.02734011288935532,0.07938719999999998,0.07624425848017398,0.19025318613290232,-0.08030725818509865
2018-02-10,0.020555118110236217,0.049817943211643984,0.047463636363636354,0.09885748106060603,0.09390744446100244,-0.00376246676284428
2018-02-11,0.12192289156626508,0.006436394930370833,0.20239200000000004,0.021368831168831166,0.42426404794879824,-0.15149165223818015
2018-02-12,0.29858372093023244,0.09499965043569698,0.4327786516853931,0.23122556426801721,1.0,0.15009688291545548
2018-02-13,0.19681538461538464,0.048468645937395936,0.27291733333333335,0.09510828636772033,0.6683379659891575,-0.008357290949301488
2018-02-14,0.09070260869565216,0.09002468003011478,0.16047384615384616,0.17254730339105334,0.32251744488724626,0.13315538693621165
2018-02-15,0.12131020408163264,0.04572075529345937,0.28305714285714284,0.12109821672321672,0.42226730530050033,-0.017714809587687258
2018-02-16,-0.011795161290322563,0.027937962575059348,-0.02119710144927533,0.08056528742575254,-0.011521806476285333,-0.078271373100198
2018-02-17,0.14608975903614457,0.13664982440584847,0.27874597701149423,0.31949113875170204,0.5030236377286037,0.2919301396637538
2018-02-18,0.07262649572649571,0.025601697685031025,0.18079361702127655,0.10328960790167689,0.263607565729818,-0.08622716359021829
2018-02-19,0.22171904761904754,0.035378387045053715,0.32484418604651155,0.09286826599326599,0.7494987653615881,-0.05293415278209533
