,open_close_diff,pos_neg,close_low_diff,sentiment_1,sentiment_2,s1_no_0,s2_no_0,s1_scaled,s2_scaled
2018-02-05,-5.779999000000032,-1.0,-10.75,0.011232583338878138,-0.008485940003327218,0.03183870275256142,0.032198774283843726,0.06352539286845495,0.3235493720423902
2018-02-06,-7.920013999999981,-1.0,-9.630004999999983,0.10566084337349396,0.06356262713190426,0.17366039603960393,0.16748247783962075,0.3712661885349373,0.06352539286845495
2018-02-07,5.01998900000001,1.0,1.690003000000047,0.04596887417218543,0.008302872624064674,0.09916142857142857,0.02279515938606846,0.1767306322282148,0.3712661885349373
2018-02-08,-1.6900019999999927,-1.0,-30.399993999999992,0.09501074074074056,0.06822940917107574,0.15933478260869535,0.16159596908938992,0.3365576059884437,0.1767306322282148
2018-02-09,4.699982000000034,1.0,-20.470000999999968,0.015269129287598953,0.04013905926966613,0.02333467741935485,0.07606351731601732,0.07668045748097975,0.3365576059884437
2018-02-12,5.709992,1.0,-4.170012999999983,0.0641987304982277,0.02786481701045671,0.10974761212121213,0.06549019023653706,0.23614155951423432,0.07668045748097975
2018-02-13,-0.7100219999999808,-1.0,-3.220000999999968,0.29858372093023244,0.09499965043569697,0.4327786516853931,0.2312255642680172,1.0,0.23614155951423432
2018-02-14,-2.82000800000003,-1.0,-5.140015000000005,0.19681538461538464,0.048468645937395936,0.2729173333333333,0.09510828636772033,0.6683379659891575,1.0
2018-02-15,2.1900019999999927,1.0,0.08999599999998509,0.09070260869565216,0.09002468003011478,0.16047384615384616,0.17254730339105334,0.32251744488724626,0.6683379659891575
2018-02-16,-1.5700069999999755,-1.0,-2.42999199999997,0.12131020408163265,0.04572075529345937,0.28305714285714284,0.12109821672321673,0.4222673053005003,0.32251744488724626
2018-02-20,-1.0199890000000096,-1.0,-3.9899899999999775,0.0689736978241059,0.06339649488864628,0.1461141641944985,0.1677820113597105,0.2517031323273788,0.4222673053005003
2018-02-21,1.2600100000000225,1.0,-1.5999760000000265,0.09498125000000003,0.0302764531475469,0.12490684931506853,0.1162615800865801,0.3364614959466304,0.2517031323273788
2018-02-22,2.2300110000000473,1.0,1.4500120000000152,0.20965315789473685,0.08817432311840205,0.31120390625,0.1861457932499599,0.7101761462344092,0.3364614959466304
2018-02-23,1.6599740000000338,1.0,0.9299930000000245,-0.009338842975206636,0.08068785553289691,-0.012555555555555587,0.17434340213358082,-0.003516688597095089,0.7101761462344092
2018-02-26,1.4500120000000152,1.0,0.30999700000000985,0.14609533840041328,0.09546931182461872,0.20760722552785515,0.19141560697524196,0.5030418208233546,-0.003516688597095089
2018-02-27,-1.170012999999983,-1.0,-7.410002999999961,0.17196017699115038,0.11740257824771101,0.27759285714285703,0.2822657732338583,0.5873350822345115,0.5030418208233546
2018-02-28,1.580016999999998,1.0,-8.76998900000001,0.08391730769230772,0.10306908369408373,0.1818208333333334,0.19850342044786493,0.30040421386042937,0.5873350822345115
2018-03-01,1.9500120000000152,1.0,-12.989991000000032,0.09821864406779658,0.060850392545307774,0.21462592592592586,0.15277332596481527,0.3470121322280195,0.30040421386042937
2018-03-02,-3.949982000000034,-1.0,-7.959992000000057,0.04359647058823528,0.04759437866055512,0.07266078431372547,0.11237561628186626,0.16899899165473395,0.3470121322280195
2018-03-05,-2.729980000000012,-1.0,-5.829986000000019,0.10188587443584785,0.05260793715434874,0.17502097162097166,0.09914901155565099,0.35896360089791424,0.16899899165473395
2018-03-06,0.3999939999999924,1.0,-6.3200069999999755,0.09958554216867467,0.06719367730662912,0.165312,0.1467651372750057,0.3514668400560048,0.35896360089791424
2018-03-07,-2.7600100000000225,-1.0,-6.460022000000038,0.21265263157894745,0.12542215386952238,0.2845352112676058,0.2166382657746296,0.7199514022628616,0.3514668400560048
2018-03-08,0.5599970000000098,1.0,-6.029998999999975,0.1179284210526316,0.037611130097972206,0.18069677419354846,0.07940127465127465,0.4112461067765131,0.7199514022628616
2018-03-09,-5.0,-1.0,-6.73001099999999,0.026216216216216216,0.006636373386373374,0.041101694915254235,0.011474103518496022,0.11235690900521472,0.4112461067765131
2018-03-12,1.4399720000000116,1.0,-0.6700129999999831,0.10237425649190217,0.05152858152362697,0.16445060224089633,0.1036039076854205,0.360555233344221,0.11235690900521472
2018-03-13,-16.900025000000028,-1.0,-19.010010000000023,0.0837496688741722,0.019323270548436102,0.13745869565217395,0.052103818800247365,0.2998578805566207,0.360555233344221
2018-03-14,-5.079985999999963,-1.0,-17.91000299999996,0.025914383561643838,0.031095813813279586,0.037835,0.05674986020923525,0.11137323927284666,0.2998578805566207
2018-03-15,2.75,1.0,-5.529998999999975,0.04441586538461542,0.05449342150904652,0.06118211920529806,0.13493609135573426,0.1716693914535925,0.11137323927284666
2018-03-16,-2.670012999999983,-1.0,-6.529999000000032,0.07840506329113925,0.05260255508673229,0.1317872340425532,0.1259273288439955,0.2824398621154978,0.1716693914535925
2018-03-19,-4.850006000000008,-1.0,-11.679993000000024,0.11984023959467904,0.022191723210733375,0.2406917325737883,0.08863434564023039,0.4174767051067582,0.2824398621154978
2018-03-20,1.3099970000000098,1.0,-4.799987999999985,0.0237670520231214,0.02992378366655823,0.03237559055118112,0.06313188505261676,0.10437510634121812,0.4174767051067582
2018-03-21,-0.2999879999999848,-1.0,-0.35998599999999215,0.14617093023255814,0.08390717809322458,0.23279074074074074,0.21223580341227394,0.5032881738808145,0.10437510634121812
2018-03-22,-2.6399840000000268,-1.0,-8.350006000000008,0.03740775862068962,0.04144187487560337,0.066248854961832,0.09070297142584888,0.14883003858554664,0.5032881738808145
2018-03-23,2.1499939999999924,1.0,-8.649993999999992,0.12593333333333326,0.07642687766163375,0.18011395348837198,0.17736803683737645,0.4373340392831639,0.14883003858554664
2018-03-26,5.799986999999987,1.0,-10.180024000000003,-0.006480685947551634,-0.010088101959637137,-0.027677109949670955,-0.004082265632676639,0.005798017800204419,0.4373340392831639
2018-03-27,-0.1799930000000245,-1.0,-27.0,0.06297887323943661,0.05026091523890819,0.12595774647887326,0.12305258558491315,0.2321660563832618,0.005798017800204419
2018-03-28,-14.600006000000008,-1.0,-27.079987000000017,-0.07236830357142854,0.008990254448640935,-0.11919485294117642,0.02262715726399516,-0.2089290974162347,0.2321660563832618
2018-03-29,-1.2900090000000546,-1.0,-9.569992000000042,-0.10455695931477534,-0.016095445121141038,-0.13525789473684233,-0.032259969405892125,-0.3138316184015916,-0.2089290974162347
2018-04-02,-9.86999499999996,-1.0,-21.540008999999998,-0.11837487437185935,-0.004186754932672027,-0.1463142857142858,-0.008589321975275602,-0.35886407131939474,-0.3138316184015916
2018-04-03,17.340010999999976,1.0,2.010008999999968,-0.08219911699779303,0.005556681658857635,-0.10314736842105328,0.01489453722758881,-0.24096762428064056,-0.35886407131939474
2018-04-04,-14.75,-1.0,-15.529999000000032,0.03888733705772812,0.051092883812855865,0.05395994832041343,0.13383843223172487,0.15365197055059907,-0.24096762428064056
2018-04-05,2.3999939999999924,1.0,1.2600100000000225,0.02654328859060401,0.08149842343214818,0.0336591489361702,0.13344247353175911,0.11342283474288825,0.15365197055059907
2018-04-06,-4.720000999999968,-1.0,-10.220000999999968,-0.01674019138755981,0.01829747766094314,-0.02301776315789474,0.03824172831137116,-0.02763761223359391,0.11342283474288825
2018-04-09,1.0700070000000323,1.0,-10.089996999999983,0.038905595973605746,0.11685181237807013,0.0535048785344485,0.1960781105287893,0.15371147618268557,-0.02763761223359391
2018-04-10,9.309996999999953,1.0,4.01998900000001,-0.037780813953488375,-0.003319543021577906,-0.07829277108433735,-0.007227359490017719,-0.09620879979315873,0.15371147618268557
2018-04-11,-3.9600220000000377,-1.0,-5.040008,-0.06846196078431363,0.018215661517132102,-0.12123472222222205,0.05806242108585859,-0.1961983636611906,-0.09620879979315873
2018-04-12,1.390013999999951,1.0,-7.25,-0.07094545454545452,0.025214416896235086,-0.10179130434782606,0.054030893349075175,-0.2042920460588761,-0.1961983636611906
2018-04-13,9.52001899999999,1.0,1.9000239999999735,-0.10143700787401573,0.013651802047471346,-0.13280927835051545,0.03181245614731855,-0.3036637265176559,-0.2042920460588761
2018-04-16,-1.339995999999985,-1.0,-11.329985999999963,0.09978984651711915,0.02482949620807502,0.13684577709871817,0.04268184483155085,0.3521326659721593,-0.3036637265176559
2018-04-17,-2.339995999999985,-1.0,-8.69998099999998,-0.0806582781456954,-0.0005392799805051448,-0.10972432432432436,-0.0010053244081021833,-0.23594604520924264,0.3521326659721593
2018-04-18,3.3899850000000242,1.0,0.47000200000002224,0.02069239999999999,-0.011550394660894657,0.04275289256198345,-0.02724149684173268,0.09435484482579803,-0.23594604520924264
2018-04-19,-2.2700189999999907,-1.0,-4.800018000000023,-0.00040165016501651465,0.030874412990749632,-0.0006508021390374541,0.08427880302880304,0.025609537232168796,0.09435484482579803
2018-04-20,-4.909974000000034,-1.0,-10.329987000000017,0.036564457831325316,0.031752181887724065,0.0619357142857143,0.06507237275755796,0.14608172938436034,0.025609537232168796
2018-04-23,1.0500190000000202,1.0,-7.910002999999961,0.01701606429037872,0.05329345448863023,0.0244242003263974,0.11286018353085663,0.08237370193487516,0.14608172938436034
2018-04-24,1.6300049999999828,1.0,-4.910004000000015,0.2949084415584413,0.05678760002623641,0.3816462184873946,0.16194982229704458,0.9880222997039549,0.08237370193487516
2018-04-25,0.04000899999999774,1.0,-6.209991000000002,0.12698433734939754,0.10134858698864724,0.18171896551724132,0.15294423127377674,0.4407592513122083,0.9880222997039549
2018-04-26,-1.9400019999999927,-1.0,-4.190001999999993,0.14259758064516126,0.11717111869185602,0.17507029702970292,0.1911739304972388,0.4916426617765261,0.4407592513122083
2018-04-27,-0.11001599999997325,-1.0,-1.6500239999999735,0.014464545454545456,0.02127303882985701,0.02014050632911393,0.06157984924432292,0.07405832646984489,0.4916426617765261
2018-04-30,-0.47000200000002224,-1.0,-1.579987000000017,-0.03524581153108088,-0.0870803396354165,-0.0440665865173474,-0.13291060662496076,-0.08794725116140212,0.07405832646984489
2018-05-01,-0.3899839999999699,-1.0,-0.6799930000000245,-0.0011982142857143063,0.06381888614031474,-0.002313793103448316,0.11912858746192086,0.023013542386843375,-0.08794725116140212
